"","ORIGEN","AÑO_N","MES_N","AÑO","TRIMESTRES","TOTAL_KILOS_BRUTOS","TOTAL_KILOS_NETOS","I_DOLARES","I_PESOS"
"234","25",2005,9,5,3,119624383.091897,116158624.38056,143272843.822807,328662591749.997
"235","27",2005,9,5,3,250.5,250.090000152588,242028.049377441,554149461.25
"236","41",2005,9,5,3,6626820.72412109,6583271.38150024,15187106.4353638,34847882111.875
"237","44",2005,9,5,3,2355351674,2355351674,106458511.625,244559907952
"238","47",2005,9,5,3,60560945.0403292,56976735.2112627,19501862.7589522,44746238212.6691
"239","50",2005,9,5,3,6284.01998901367,5784,141221.08984375,323226005.0625
"240","52",2005,9,5,3,11024060.3405871,10991297.3990479,10210089.2108307,23403772815.3125
"241","54",2005,9,5,3,175394122.059044,175200950.799349,11820151.0758555,27136630837.7502
"242","63",2005,9,5,3,3502990.72571564,3463711.92932796,9436384.33821869,21642003177.0469
"243","66",2005,9,5,3,19289559.6319158,18917809.5570039,26582967.338796,61003299925.5837
"244","68",2005,9,5,3,6181615.17431188,6048579.18110354,20751690.2367407,47651909635.3078
"245","70",2005,9,5,3,52387714.289917,52259034.7151337,4176921.16992188,9563715222.625
"246","73",2005,9,5,3,5288924.68414453,5218319.96870455,14282884.3129563,32757275857.251
"247","76",2005,9,5,3,198809510.439741,194893279.287755,157316030.671895,361107620396.453
"248","81",2005,9,5,3,396096.350000024,395907.100006104,701416.279602051,1609119012.89844
"249","85",2005,9,5,3,28.7800006866455,25,1047.40002441406,2401258.75
"250","88",2005,9,5,3,30213.2000004798,29950.4404101558,783832.635650635,1802031741.375
"251","91",2005,9,5,3,1638.17999446392,1461.97996091843,10148.5099105835,23299344.5
"252","97",2005,9,5,3,2.77999997138977,2.5,39.1500015258789,89694.609375
"253","99",2005,9,5,3,12621,12112.2001953125,69476.828125,159470864
"254","05",2005,10,5,4,190960250.562982,177183260.912189,246817169.221646,566221740067.396
"255","08",2005,10,5,4,115204888.923061,114037765.051396,48102568.1753773,110389137971.189
"256","11",2005,10,5,4,35689897.8250622,33757359.9395481,146473851.539506,335830143210.996
"257","13",2005,10,5,4,163516579.264875,161980690.195604,102241093.77755,234530554600.295
"258","15",2005,10,5,4,2472645.09004791,2460594.00998101,5491894.35100555,12583709735.1367
"259","17",2005,10,5,4,18277030.6686205,16954897.6707378,39289165.4235208,90271032725.0021
"260","19",2005,10,5,4,22721880.2333755,22546690.112483,15288865.6787643,35072046357.2734
"261","20",2005,10,5,4,2702563431,2702548398,126125250.060059,289245732360
"262","23",2005,10,5,4,12710420.5699997,12699470.73,61003569.171875,139813743279.75
"263","25",2005,10,5,4,94184810.7467154,90781947.233844,130010398.731189,298123817892.274
"264","27",2005,10,5,4,7310,6450,30132,69273168
"265","41",2005,10,5,4,5611709.45984459,5574091.01028061,12278501.5719528,28139248745.5156
"266","44",2005,10,5,4,1994378224.01016,1994034615,90502437.2254486,207310900749.188
"267","47",2005,10,5,4,49363410.9478149,46668264.7625732,17218266.825119,39489064198.1357
"268","50",2005,10,5,4,5195.99991607666,4588.39998817444,32422,74337212.890625
"269","52",2005,10,5,4,6219607.41965485,6196137.76013088,6489604.57763672,14869719528.7188
"270","54",2005,10,5,4,175982169.542153,175820061.701421,13624150.6636238,31267256258.1016
"271","63",2005,10,5,4,3133724.61329651,3095402.06012726,8319234.9934082,19070503229.4941
"272","66",2005,10,5,4,14538563.058447,14125053.520803,27981492.908099,64147353301.7479
"273","68",2005,10,5,4,4830986.49433605,4683689.47685099,28980506.917556,66443670002.3359
"274","70",2005,10,5,4,30476900.1875,30406427.6875,4475365.31835938,10250843034
"275","73",2005,10,5,4,3251323.10677671,3202756.95029521,7975917.1813736,18283025081.7031
"276","76",2005,10,5,4,179644331.016889,176296693.918447,141314655.569646,324258411223.823
"277","81",2005,10,5,4,135737,135640,300474.690002441,687940590.875
"278","85",2005,10,5,4,99725.090000391,99031.25,54416.380897522,124545359.8125
"279","86",2005,10,5,4,27980,27653.62890625,17643.01953125,40398811
"280","88",2005,10,5,4,86998.329521656,84510.0803570747,1887531.66885376,4325218636.90234
"281","91",2005,10,5,4,1071.84998774529,999.119987726212,17077.7199401855,39295817.328125
"282","05",2005,11,5,4,193610064.73434,179965047.91286,272194320.543542,621467341262.834
"283","08",2005,11,5,4,84170844.4319028,82758106.3844538,62245343.4816692,142163453714.446
"284","11",2005,11,5,4,40469188.0740719,38384544.1912324,169147484.720066,385795493776.258
"285","13",2005,11,5,4,177035405.940588,175406596.864753,94320185.2354445,215000966716.591
"286","15",2005,11,5,4,6874821.84912636,6847945.04018401,7184438.08132935,16386718037.4316
"287","17",2005,11,5,4,20268495.6943537,19045453.4273567,45182880.4814281,103142521768.246
"288","19",2005,11,5,4,15193459.2360439,15048153.6300998,11489808.4499817,26189900052.8555
"289","20",2005,11,5,4,1391620196.27,1391606368.27,76342135.6530762,174218264081.75
"290","23",2005,11,5,4,11954964.726223,11929311.256258,49442557.5446167,112680734297.905
"291","25",2005,11,5,4,152594280.310202,149658814.446325,129903341.039268,296197746965.769
"292","27",2005,11,5,4,21617.3499999046,21617.2899999619,231184.703125,527958472
"293","41",2005,11,5,4,5969719.27867889,5932933.00959015,12807659.6966553,29192911505.5
"294","44",2005,11,5,4,3270852937.875,3270852505.875,144310047.554688,329009116344
"295","47",2005,11,5,4,47834751.0212727,44709001.351614,15344012.7410889,35031347413.5894
"296","50",2005,11,5,4,2925.00001525879,2665.60000038147,14400.3999023438,32894534.5
"297","52",2005,11,5,4,9265848.3112253,9246920.13967538,7227722.47924805,16486910414.1992
"298","54",2005,11,5,4,77648685.8284757,77438845.8111358,11432410.5428486,26096651646.5491
"299","63",2005,11,5,4,4387889.07201878,4347092.0512928,11156079.7703589,25435899357.8345
"300","66",2005,11,5,4,17018188.1737954,16554261.8667294,33518067.0138236,76320576553.332
"301","68",2005,11,5,4,6802740.77275447,6641777.39628544,36889684.7539301,84089426294.6284
"302","70",2005,11,5,4,14718064.7999878,14656878.8624878,3283505.79101562,7478658636
"303","73",2005,11,5,4,4968573.07231581,4917468.74923199,12615410.2249041,28756656556.3516
"304","76",2005,11,5,4,162347539.980397,158869247.220132,140412095.880713,320392499904.513
"305","85",2005,11,5,4,6688,6674.40000003576,2638.80000686646,6016318.8203125
"306","88",2005,11,5,4,20752.4001953155,20706.1806445308,695478.26953125,1584419440
"307","91",2005,11,5,4,5347.08980178833,5234.63999938965,47348.7004394531,107927419
"308","05",2005,12,5,4,244473255.885106,225885583.276997,303720054.39129,692947688505.478
"309","08",2005,12,5,4,140196677.97041,138772196.97556,62580536.0907586,142634434179.707
"310","11",2005,12,5,4,39472062.8112733,37452906.5838875,156209421.373726,356056939245.017
"311","13",2005,12,5,4,179348149.911974,177241669.121175,120012305.633656,273377937646.499
"312","15",2005,12,5,4,39117749.9639395,39085620.9700149,12160136.8916626,27694745594.9062
"313","17",2005,12,5,4,20501359.8394046,19204782.9843462,47202228.9421695,107716297095.64
"314","19",2005,12,5,4,10829029.5200932,10704966.0304909,11814611.2514808,26935346513.4199
"315","20",2005,12,5,4,3484896020,3484885958,171594004.78125,391077699288
"316","23",2005,12,5,4,13430327.9699993,13417852.6400046,54530807.40625,124225241087.188
